序号,粤语,普通话,新拟粤语（广州音）拼音,场景,来源
1,剥皮拆骨,习语。比喻把东西分解、拆卸：部玩具车畀佢两日就～喇［玩具车让他玩两天就散架了］。又说“煎皮拆骨”（335页）。,mog7pei2 caag8gwad7,四字组习语,现代粤语词典-1205
2,刨萝卜丝,习语。把萝卜铲成丝。,paau2 lo2baag9si1,四字组习语,现代粤语词典-1206
3,容光焕发,习语。脸上放出光彩，精神饱满。,yung2gwong1 wun6faad8,四字组习语,现代粤语词典-1207
4,三头两日,习语。同“三日两头”。,saam1tau2 loeng4yad9,四字组习语,现代粤语词典-1208
8,掌上明珠,习语。多指父母特别疼爱的女儿。,zoeng3soeng6 ming2zyu1,四字组习语,现代粤语词典-1212
9,整色整水,习语。同“整色水”。,zing3sig7zing3soey3,四字组习语,现代粤语词典-1213
10,自认低威,习语。甘拜下风：唔～都唔得啦［不甘拜下风也不行］。,zi6ying6 dai1wai1,四字组习语,现代粤语词典-1214
11,自上而下,习语。从上到下。,zi6soeng6 yi2haa6,四字组习语,现代粤语词典-1215
12,自食其力,习语。凭自己劳动养活自己。,zi6sig9 kei2lig9,四字组习语,现代粤语词典-1216
13,自始至终,习语。从开始到末了。,zi6ci3 zi5zung1,四字组习语,现代粤语词典-1217
14,自自然然,习语。自然而然：～就惯喇［自然而然就习惯］。,zi6zi6yin2yin2,四字组习语,现代粤语词典-1218
15,阿保阿胜,习语。张三李四，阿猫阿狗。又说“阿狗阿猫”。,aa5bou3 aa5sing5,四字组习语,现代粤语词典-1219
16,阿崩吹箫,习语。比喻白费口舌：点讲佢都唔听，真系～咯［怎么说他都不听，真是白费唇舌］。,aa5bang1 coey1 siu1,四字组习语,现代粤语词典-1220
17,阿狗阿猫,习语。同“阿保阿胜”。,aa5gau3 aa5maau1,四字组习语,现代粤语词典-1221
18,阿里巴巴,习语。❶阿拉伯民间故事人物。➋阿里巴巴集团公司。,Aa1lei4baa1baa1,四字组习语,现代粤语词典-1222
19,阿Sir,习语。❶〈外〉先生。➋老师。➌男警察：～，我要报警［警察，我要报警］。,aa5soe2,四字组习语,现代粤语词典-1223
20,挨挨凭凭,习语。同“挨街凭巷”。,aai1aai1bang6bang6,四字组习语,现代粤语词典-1224
21,挨街凭巷,习语。在街边、巷子四处溜达，闲得无聊、无所事事：边个有佢咁得闲吖，成日～［谁有他那么闲，整天到处溜达］。又说“挨挨凭凭”。,aai1gaai1 bang6hong6,四字组习语,现代粤语词典-1225
22,挨年近晚,习语。年关，年底：～好多嘢要做［快过年了，很多事要做］｜到～，仲唔翻屋企［快过年了还不回家］？,aai1nin2 gan6maan4,四字组习语,现代粤语词典-1226
23,矮仔多计,习语。个子矮的人智谋多。多用作戏谑语：～，你揾佢啦［他智谋多，你找他吧］。,ai3zai3 do1gai3,四字组习语,现代粤语词典-1227
24,爱不释手,习语。喜爱得舍不得放下：旧年送畀佢嘅一套茶具，依家仲～［去年送给他的一套茶具，现在还喜欢得不得了］。,oi5bad7sig7sau3,四字组习语,现代粤语词典-1228
25,安乐茶饭,习语。指稳定的生活：我冇谂住发达，有餐～食下就得喇［我没想赚大钱，有个安稳的生活就足够了］。,on1log9 caa2faan6,四字组习语,现代粤语词典-1229
26,鞍前马后,习语。身边人；左右手，比喻跟随在身边小心侍候：佢～为你做咁多嘢，你多谢都冇句咩［他在你身边帮你做了这么多，你连句谢谢都没有吗］？ ,on1cin2maa4hau6,四字组习语,现代粤语词典-1230
27,昂首挺胸,习语。仰起头，挺起胸脯。形容精神振奋，意气昂扬：你唔好惊，～，勇敢啲［你不要怕，抬头挺胸，勇敢一点］。,ong2sau3 ting4hung1,四字组习语,现代粤语词典-1231
28,拗心白菜,习语。油菜苔。又说“菜心”（59页）。,aau3sam1baag9coi5,四字组习语,现代粤语词典-1232
29,澳大利亚,习语。全称“澳大利亚联邦”。,Ngou5daai6lei6ngaa5,四字组习语,现代粤语词典-1233
30,八卦新闻,习语。专门报道公众人物、社会名流特别是演艺界明星隐私的新闻：呢个电视台成日都放埋啲～［这个电视台整天都播放那些八卦新闻］。,baad8gwaa5 san1man3,四字组习语,现代粤语词典-1234
31,拔刀相助,习语。指见义勇为，打抱不平：路见不平，～。,bad9dou1soeng1zo6,四字组习语,现代粤语词典-1235
32,拔苗助长,习语。比喻违反事物规律，急于求成，反而坏事。,bad9miu2zo6zoeng3,四字组习语,现代粤语词典-1236
33,把口唔修,习语。说话无禁忌，没有口德：佢～，成日得罪人［他口无遮拦，经常得罪人］。,baa3hau3 m2sau1,四字组习语,现代粤语词典-1237
34,霸王条款,习语。经营者单方面制定的限制或侵害消费者权益的不平等条款、行规等。,baa5wong2 tiu2fun3,四字组习语,现代粤语词典-1238
35,霸巷鸡乸,习语。街巷里称霸的母鸡，比喻霸道者、土霸王：你咪惹佢吖，佢系～嚟［你别招他，他是土霸王］。,baa5hong6 gai1naa3,四字组习语,现代粤语词典-1239
36,白云猪手,习语。粤式名菜，用酸白瓜、白醋煮的猪蹄：呢间酒楼嘅～好出名［这家餐馆的白云猪手很有名］。又说“猪脚酸”（962页）。,baag9wan2 zyun1sau3,四字组习语,现代粤语词典-1240
37,百发百中,习语。比喻做事有充分把握，绝不落空：佢从来都系～［他从来都是绝不落空的］。,baag8faad8baag8zung5,四字组习语,现代粤语词典-1241
38,百花齐放,习语。比喻不同形式和风格的各种艺术作品自由发展：作品～。,baag8faa1cai2fong5,四字组习语,现代粤语词典-1242
39,百年归老,习语。人老去世（百年之后）：呢啲嘢等佢～之后再讲啦［等他百年之后再说吧］。,baag8nin2 gwai1lou4,四字组习语,现代粤语词典-1243
40,百折不挠,习语。经受许多挫折都不退缩、放弃：无论遭到几多打击，我都～［无论遭到多少打击，我都不屈不挠］。,baag8zid8bad7naau2,四字组习语,现代粤语词典-1244
41,摆明车马,"习语。开始就明白讲清楚，以免日后误会而发生争执：你哋做嘢之前要～,如果唔系有排吖［你们做事要先讲清楚，不然以后有争执］。",baai3ming2 goey1maa4,四字组习语,现代粤语词典-1245
42,半身不遂,习语。偏瘫：佢中风之后就～［他中风之后就得了偏瘫］。,bun5san1 bad7soey6,四字组习语,现代粤语词典-1246
43,半生不熟,习语。不熟悉；不熟练：你嘅英文～点同人交流啊［你的英语那么不熟练，怎么和别人交流］？,bun5saang1bad7sug9,四字组习语,现代粤语词典-1247
44,半夜三更,习语。23时至凌晨1时，通常指深夜：～，吵咩啊［大半夜的吵什么］？又说“三更半夜”（640页）。,bun5ye6 saam1gaang1,四字组习语,现代粤语词典-1248
